Category,Asset Type,Asset Name,Format,Dimensions/Specs,Quantity,Priority,Assigned To,Est Hours,Notes
Visual,Sol Sprite Sheet,idle_loop,PNG,128x128px per frame / 12 frames,1,High,Art Team,8,Breathing + cape flow animation
Visual,Sol Sprite Sheet,hover_start,PNG,128x128px per frame / 4 frames,1,High,Art Team,4,Hover transition animation
Visual,Sol Sprite Sheet,hover_loop,PNG,128x128px per frame / 8 frames,1,High,Art Team,6,Hover idle animation
Visual,Sol Sprite Sheet,activate,PNG,192x192px per frame / 6 frames,1,High,Art Team,6,Battle stance activation
Visual,Sol Sprite Sheet,attack_combo_1,PNG,192x192px per frame / 8 frames,1,Medium,Art Team,8,Solar slash attack
Visual,Sol Sprite Sheet,attack_combo_2,PNG,192x192px per frame / 8 frames,1,Medium,Art Team,8,Rising dawn uppercut
Visual,Sol Sprite Sheet,block,PNG,128x128px per frame / 4 frames,1,Medium,Art Team,4,Light shield deploy
Visual,Sol Sprite Sheet,hurt,PNG,128x128px per frame / 4 frames,1,Medium,Art Team,4,Damage reaction
Visual,Sol Sprite Sheet,defeat,PNG,128x128px per frame / 10 frames,1,Medium,Art Team,10,Dramatic death sequence
Visual,Sol Sprite Sheet,celebrate,PNG,256x256px per frame / 16 frames,1,Medium,Art Team,12,Victory celebration
Visual,Sol Sprite Sheet,ultimate_cast,PNG,512x512px per frame / 24 frames,1,High,Art Team,16,Full solar transformation
Visual,Sol Sprite Sheet,lun_synergy,PNG,256x256px per frame / 12 frames,1,High,Art Team,10,Dual animation with Lun
Visual,Lun Sprite Sheet,idle_loop,PNG,128x128px per frame / 16 frames,1,High,Art Team,10,Mystical breathing + stars
Visual,Lun Sprite Sheet,hover_start,PNG,128x128px per frame / 5 frames,1,High,Art Team,5,Hover transition with mist
Visual,Lun Sprite Sheet,hover_loop,PNG,128x128px per frame / 12 frames,1,High,Art Team,8,Hover with mirror orbit
Visual,Lun Sprite Sheet,activate,PNG,192x192px per frame / 7 frames,1,High,Art Team,6,Barrier stance activation
Visual,Lun Sprite Sheet,heal_cast,PNG,192x192px per frame / 10 frames,1,High,Art Team,8,Healing embrace
Visual,Lun Sprite Sheet,heal_channel,PNG,128x128px per frame / 8 frames,1,Medium,Art Team,6,Sustained healing
Visual,Lun Sprite Sheet,shield_deploy,PNG,256x256px per frame / 6 frames,1,High,Art Team,8,Team barrier ultimate
Visual,Lun Sprite Sheet,hurt,PNG,128x128px per frame / 5 frames,1,Medium,Art Team,4,Damage reaction
Visual,Lun Sprite Sheet,defeat,PNG,128x128px per frame / 12 frames,1,Medium,Art Team,12,Graceful collapse
Visual,Lun Sprite Sheet,celebrate,PNG,256x256px per frame / 20 frames,1,Medium,Art Team,14,Joyful victory spin
Visual,Lun Sprite Sheet,ultimate_cast,PNG,512x512px per frame / 30 frames,1,High,Art Team,18,Full lunar ascension
Visual,Lun Sprite Sheet,sol_synergy,PNG,256x256px per frame / 12 frames,1,High,Art Team,10,Dual animation with Sol
Visual,Lun Sprite Sheet,self_sacrifice,PNG,384x384px per frame / 15 frames,1,Medium,Art Team,14,Protection ultimate
Visual,Portrait,Sol_Portrait_Default,PNG,512x512px,1,High,Art Team,4,Character select portrait
Visual,Portrait,Sol_Portrait_Humbled,PNG,512x512px,1,Medium,Art Team,4,Post-quest variant
Visual,Portrait,Lun_Portrait_Default,PNG,512x512px,1,High,Art Team,4,Character select portrait
Visual,Portrait,Lun_Portrait_Renewed,PNG,512x512px,1,Medium,Art Team,4,Post-quest variant
Visual,Icon,Sol_Ability_Sunburst,PNG,128x128px,1,High,UI Team,2,Ability icon
