Character,Asset Category,Asset Type,Asset Name,File Path,Format,Resolution/Specs,Animation Frames,Priority,Status,Notes
Bin,Visual,Character Sprite,Base Form Idle,characters/bin/sprite_idle.png,PNG,128x128,16,P0,Required,Looping idle with circuit pulse
Bin,Visual,Character Sprite,Hover State,characters/bin/sprite_hover.png,PNG,128x128,12,P0,Required,Levitation + data stream
Bin,Visual,Character Sprite,Active/Battle Stance,characters/bin/sprite_active.png,PNG,192x192,6,P0,Required,Battle pose + grid projection
Bin,Visual,Character Sprite,Hacking Cast,characters/bin/sprite_hack_cast.png,PNG,256x256,10,P0,Required,Hand extend + code tendrils
Bin,Visual,Character Sprite,Hacking Channel,characters/bin/sprite_hack_channel.png,PNG,128x128,8,P1,Required,Sustained connection
Bin,Visual,Character Sprite,Teleport Dissolve,characters/bin/sprite_teleport_out.png,PNG,128x128,8,P0,Required,Pixelation dissolve
Bin,Visual,Character Sprite,Teleport Reform,characters/bin/sprite_teleport_in.png,PNG,128x128,8,P0,Required,Reconstruction + burst
Bin,Visual,Character Sprite,Override Cast,characters/bin/sprite_override_cast.png,PNG,512x512,20,P0,Required,Full transformation sequence
Bin,Visual,Character Sprite,Override Loop,characters/bin/sprite_override_loop.png,PNG,256x256,12,P0,Required,Sustained override state
Bin,Visual,Character Sprite,Shield Deploy,characters/bin/sprite_shield_deploy.png,PNG,256x256,6,P0,Required,Hexagonal panel formation
Bin,Visual,Character Sprite,Shield Damage,characters/bin/sprite_shield_damage.png,PNG,256x256,4,P1,Optional,Glitch spread on impact
Bin,Visual,Character Sprite,Shield Break,characters/bin/sprite_shield_break.png,PNG,256x256,10,P0,Required,Panel shatter
Bin,Visual,Character Sprite,Loop Trap,characters/bin/sprite_loop_trap.png,PNG,256x256,12,P0,Required,Recursive zone deployment
Bin,Visual,Character Sprite,Hurt,characters/bin/sprite_hurt.png,PNG,128x128,5,P0,Required,Error spike + destabilization
Bin,Visual,Character Sprite,Defeated,characters/bin/sprite_defeat.png,PNG,128x128,15,P0,Required,Cascade failure + pixel fade
Bin,Visual,Character Sprite,Celebrate,characters/bin/sprite_celebrate.png,PNG,256x256,16,P1,Optional,Data fireworks + circuit dance
Bin,Visual,Shader,Core Flame Shader,characters/bin/shader_core.gdshader,GDShader,N/A,N/A,P0,Required,Flame gradient + flicker
Bin,Visual,Shader,Circuit Pattern Shader,characters/bin/shader_circuits.gdshader,GDShader,N/A,N/A,P0,Required,Circuit overlay + pulse
Bin,Visual,Shader,Glitch Effect Shader,characters/bin/shader_glitch.gdshader,GDShader,N/A,N/A,P1,Optional,Error state visual
Bin,Audio,SFX,Select 01,audio/bin/select_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"Systems online. Awaiting input."
Bin,Audio,SFX,Select 02,audio/bin/select_02.wav,WAV,44.1kHz/16bit,N/A,P1,Optional,"Logic prevails."
Bin,Audio,SFX,Move,audio/bin/move_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Digital transmission sound
Bin,Audio,SFX,Hack Start,audio/bin/hack_start_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Initiating protocol
Bin,Audio,SFX,Hack Success,audio/bin/hack_success_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Access granted
Bin,Audio,SFX,Teleport,audio/bin/teleport_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Dissolution + transmission
Bin,Audio,SFX,Override,audio/bin/override_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Administrator privileges
Bin,Audio,SFX,Shield,audio/bin/shield_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Firewall materialization
Bin,Audio,SFX,Loop,audio/bin/loop_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Recursive sequence
Bin,Audio,SFX,Hit,audio/bin/hit_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Error chime
Bin,Audio,SFX,Victory,audio/bin/victory_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Optimal outcome achieved
Bin,Audio,SFX,Defeat,audio/bin/defeat_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Critical error
Bin,Audio,Voice Line,Greeting 01,audio/bin/vo_greeting_01.wav,WAV,44.1kHz/16bit,N/A,P1,Optional,Systems online variant
Bin,Audio,Voice Line,Battle Start 01,audio/bin/vo_battle_01.wav,WAV,44.1kHz/16bit,N/A,P1,Optional,Threat assessment complete
Bin,Audio,Music,Theme Music,audio/bin/music_theme.ogg,OGG,192kbps,N/A,P2,Nice-to-have,Electronic cyber theme
Fat,Visual,Character Sprite,Base Form Idle,characters/fat/sprite_idle.png,PNG,128x128,12,P0,Required,Breathing flames + ember rise
Fat,Visual,Character Sprite,Hover State,characters/fat/sprite_hover.png,PNG,128x128,8,P0,Required,Heat intensify + wing spread
Fat,Visual,Character Sprite,Active/Battle Stance,characters/fat/sprite_active.png,PNG,192x192,6,P0,Required,Battle pose + flame burst
Fat,Visual,Character Sprite,Fire Lance Cast,characters/fat/sprite_lance_cast.png,PNG,192x192,6,P0,Required,Spear formation + throw
Fat,Visual,Character Sprite,Rebirth Death,characters/fat/sprite_rebirth_death.png,PNG,128x128,12,P0,Required,Collapse to ash + egg
Fat,Visual,Character Sprite,Rebirth Egg,characters/fat/sprite_rebirth_egg.png,PNG,96x96,4,P0,Required,Pulsing egg loop
Fat,Visual,Character Sprite,Rebirth Emerge,characters/fat/sprite_rebirth_emerge.png,PNG,256x256,15,P0,Required,Explosive resurrection
Fat,Visual,Character Sprite,Flame Dash,characters/fat/sprite_dash.png,PNG,256x128,8,P0,Required,Horizontal flame streak
Fat,Visual,Character Sprite,Nova Charge,characters/fat/sprite_nova_charge.png,PNG,192x192,8,P0,Required,Arms raise + fire draw
Fat,Visual,Character Sprite,Nova Explode,characters/fat/sprite_nova_explode.png,PNG,384x384,12,P0,Required,Expanding ring
Fat,Visual,Character Sprite,Ultimate Transform,characters/fat/sprite_ultimate_transform.png,PNG,512x512,24,P0,Required,Phoenix transformation
Fat,Visual,Character Sprite,Ultimate Flight,characters/fat/sprite_ultimate_flight.png,PNG,512x256,16,P0,Required,Phoenix flight cycle
Fat,Visual,Character Sprite,Ultimate Dive,characters/fat/sprite_ultimate_dive.png,PNG,512x512,10,P0,Required,Dive bomb impact
Fat,Visual,Character Sprite,Hurt,characters/fat/sprite_hurt.png,PNG,128x128,4,P0,Required,Flame dampen + recoil
Fat,Visual,Character Sprite,Defeated,characters/fat/sprite_defeat.png,PNG,128x128,10,P0,Required,Flames dying + ash
Fat,Visual,Character Sprite,Celebrate,characters/fat/sprite_celebrate.png,PNG,256x256,16,P1,Optional,Joy flame burst + spin
Fat,Visual,Shader,Flame Shader,characters/fat/shader_flame.gdshader,GDShader,N/A,N/A,P0,Required,Fire gradient + distortion
Fat,Visual,Shader,Phoenix Wing Shader,characters/fat/shader_wings.gdshader,GDShader,N/A,N/A,P0,Required,Wing flame effects
Fat,Visual,Shader,Heat Shimmer,characters/fat/shader_heat.gdshader,GDShader,N/A,N/A,P1,Optional,Environmental distortion
Fat,Audio,SFX,Select 01,audio/fat/select_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"Ready to burn bright!"
Fat,Audio,SFX,Move,audio/fat/move_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Fire whoosh + embers
Fat,Audio,SFX,Fire Lance,audio/fat/lance_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"Feel the heat!" + throw
Fat,Audio,SFX,Rebirth Death,audio/fat/rebirth_death_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Flames drawing inward
Fat,Audio,SFX,Rebirth Live,audio/fat/rebirth_live_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,"From ash... I RISE!"
Fat,Audio,SFX,Flame Dash,audio/fat/dash_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Ignition + streak
Fat,Audio,SFX,Fire Nova,audio/fat/nova_01.wav,WAV,44.1kHz/16bit,N/A,P0,Required,Charge + "BURN!"
